posteam,qtr,down,play_type,pass_length_numerical_mean,pass_length_numerical_count,pass_length_numerical_std,pass_location_numerical_mean,pass_location_numerical_count,pass_location_numerical_std,run_location_numerical_mean,run_location_numerical_count,run_location_numerical_std
CAR,4,3,run,0,186,0,1,186,0,0.51344086,186,0.393984482
CAR,4,4,pass,0.678571429,56,0.471251443,0.544642857,56,0.439801461,1,56,0
CAR,4,4,run,0,18,0,1,18,0,0.611111111,18,0.366042249
CAR,5,1,pass,0.857142857,7,0.377964473,0.285714286,7,0.487950036,1,7,0
CAR,5,1,run,0,3,0,1,3,0,0,3,0
CAR,5,2,pass,0.2,5,0.447213595,0.6,5,0.547722558,1,5,0
CAR,5,2,run,0,4,0,1,4,0,0.5,4,0.577350269
CAR,5,3,pass,1,3,0,0.333333333,3,0.577350269,1,3,0
CHI,1,1,pass,0.76010101,396,0.427561813,0.542929293,396,0.449388338,1,396,0
CHI,1,1,run,0,563,0,1,563,0,0.487566607,563,0.470505457
CHI,1,2,pass,0.84,375,0.367095843,0.544,375,0.456749735,1,375,0
CHI,1,2,run,0,365,0,1,365,0,0.506849315,365,0.476747441
CHI,1,3,pass,0.739837398,369,0.43931886,0.601626016,369,0.418456742,1,369,0
CHI,1,3,run,0,88,0,1,88,0,0.551136364,88,0.442301795
CHI,1,4,pass,1,4,0,0.25,4,0.5,1,4,0
CHI,1,4,run,0,10,0,1,10,0,0.55,10,0.497214463
CHI,2,1,pass,0.710482529,601,0.453916219,0.552412646,601,0.444595325,1,601,0
CHI,2,1,run,0,546,0,1,546,0,0.474358974,546,0.467554688
CHI,2,2,pass,0.793650794,504,0.405086159,0.553571429,504,0.44151729,1,504,0
CHI,2,2,run,0,339,0,1,339,0,0.538348083,339,0.46632605
CHI,2,3,pass,0.748251748,429,0.434524095,0.533799534,429,0.445013669,1,429,0
CHI,2,3,run,0,104,0,1,104,0,0.495192308,104,0.443371857
CHI,2,4,pass,0.769230769,13,0.43852901,0.692307692,13,0.383973824,1,13,0
CHI,2,4,run,0,10,0,1,10,0,0.55,10,0.437797518
CHI,3,1,pass,0.749455338,459,0.433799513,0.576252723,459,0.442874579,1,459,0
CHI,3,1,run,0,556,0,1,556,0,0.448741007,556,0.4674815
CHI,3,2,pass,0.768856448,411,0.422077795,0.577858881,411,0.437589059,1,411,0
CHI,3,2,run,0,323,0,1,323,0,0.498452012,323,0.463745305
CHI,3,3,pass,0.679045093,377,0.467463892,0.554376658,377,0.438005873,1,377,0
CHI,3,3,run,0,89,0,1,89,0,0.561797753,89,0.45739023
CHI,3,4,pass,0.9,10,0.316227766,0.4,10,0.394405319,1,10,0
CHI,3,4,run,0,12,0,1,12,0,0.458333333,12,0.396480731
CHI,4,1,pass,0.727419355,620,0.445646453,0.596774194,620,0.435117477,1,620,0
CHI,4,1,run,0,506,0,1,506,0,0.519762846,506,0.46523149
CHI,4,2,pass,0.767206478,494,0.423040154,0.537449393,494,0.434461701,1,494,0
CHI,4,2,run,0,355,0,1,355,0,0.51971831,355,0.45211984
CHI,4,3,pass,0.722084367,403,0.44852841,0.576923077,403,0.430825266,1,403,0
CHI,4,3,run,0,138,0,1,138,0,0.471014493,138,0.447083476
CHI,4,4,pass,0.655737705,61,0.479070138,0.639344262,61,0.409584622,1,61,0
CHI,4,4,run,0,18,0,1,18,0,0.361111111,18,0.447396243
CHI,5,1,pass,0.6,15,0.507092553,0.8,15,0.414039336,1,15,0
CHI,5,1,run,0,19,0,1,19,0,0.342105263,19,0.374634325
CHI,5,2,pass,1,9,0,0.5,9,0.5,1,9,0
CHI,5,2,run,0,12,0,1,12,0,0.583333333,12,0.468718433
CHI,5,3,pass,0.7,10,0.483045892,0.65,10,0.411636301,1,10,0
CHI,5,3,run,0,5,0,1,5,0,0.6,5,0.547722558
CHI,5,4,pass,0.5,2,0.707106781,0.75,2,0.353553391,1,2,0
CIN,1,1,pass,0.769931663,439,0.421356523,0.55808656,439,0.441222856,1,439,0
CIN,1,1,run,0,596,0,1,596,0,0.503355705,596,0.4665145
CIN,1,2,pass,0.81840796,402,0.385988323,0.569651741,402,0.438342353,1,402,0
CIN,1,2,run,0,377,0,1,377,0,0.535809019,377,0.463470311
CIN,1,3,pass,0.816901408,355,0.387293198,0.525352113,355,0.426097224,1,355,0
CIN,1,3,run,0,93,0,1,93,0,0.559139785,93,0.402772068
CIN,1,4,pass,0.857142857,7,0.377964473,0.571428571,7,0.449867705,1,7,0
CIN,1,4,run,0,19,0,1,19,0,0.605263158,19,0.458831468
CIN,2,1,pass,0.777966102,590,0.415966482,0.570338983,590,0.431821923,1,590,0
CIN,2,1,run,0,539,0,1,539,0,0.503710575,539,0.453184886
CIN,2,2,pass,0.780952381,525,0.413995436,0.552380952,525,0.435341236,1,525,0
CIN,2,2,run,0,346,0,1,346,0,0.507225434,346,0.452791459
CIN,2,3,pass,0.742663657,443,0.437660525,0.558690745,443,0.420014115,1,443,0
CIN,2,3,run,0,130,0,1,130,0,0.534615385,130,0.432177027
CIN,2,4,pass,0.909090909,11,0.301511345,0.409090909,11,0.436931449,1,11,0
CIN,2,4,run,0,20,0,1,20,0,0.475,20,0.472256621
CIN,3,1,pass,0.795045045,444,0.404124054,0.581081081,444,0.444634633,1,444,0
CIN,3,1,run,0,586,0,1,586,0,0.471843003,586,0.462777585
CIN,3,2,pass,0.809012876,466,0.393501365,0.542918455,466,0.436608707,1,466,0
CIN,3,2,run,0,320,0,1,320,0,0.490625,320,0.459902794
CIN,3,3,pass,0.716049383,405,0.451470861,0.562962963,405,0.422581776,1,405,0
CIN,3,3,run,0,86,0,1,86,0,0.453488372,86,0.438096867
CIN,3,4,pass,0.2,5,0.447213595,0.3,5,0.447213595,1,5,0
CIN,3,4,run,0,13,0,1,13,0,0.346153846,13,0.375533808
CIN,4,1,pass,0.744801512,529,0.436385386,0.573724008,529,0.433285466,1,529,0
CIN,4,1,run,0,574,0,1,574,0,0.505226481,574,0.461396924
CIN,4,2,pass,0.787056367,479,0.409816138,0.623173278,479,0.416030194,1,479,0
CIN,4,2,run,0,375,0,1,375,0,0.512,375,0.452846021
CIN,4,3,pass,0.720698254,401,0.449216553,0.551122195,401,0.433595419,1,401,0
CIN,4,3,run,0,149,0,1,149,0,0.597315436,149,0.40967131
CIN,4,4,pass,0.755102041,49,0.434483038,0.551020408,49,0.44773618,1,49,0
CIN,4,4,run,0,17,0,1,17,0,0.558823529,17,0.428746463
CIN,5,1,pass,0.818181818,22,0.394771017,0.613636364,22,0.434571989,1,22,0
CIN,5,1,run,0,22,0,1,22,0,0.568181818,22,0.444421897
CIN,5,2,pass,0.75,24,0.442325868,0.583333333,24,0.458415671,1,24,0
CIN,5,2,run,0,11,0,1,11,0,0.5,11,0.5
CIN,5,3,pass,0.666666667,15,0.487950036,0.666666667,15,0.449867705,1,15,0
CIN,5,3,run,0,8,0,1,8,0,0.75,8,0.267261242
CIN,5,4,pass,1,1,,1,1,,1,1,
CIN,5,4,run,0,1,,1,1,,0.5,1,
CLE,1,1,pass,0.718446602,412,0.450303509,0.560679612,412,0.458716632,1,412,0
CLE,1,1,run,0,553,0,1,553,0,0.51084991,553,0.463201877
CLE,1,2,pass,0.794285714,350,0.404801311,0.534285714,350,0.454485986,1,350,0
CLE,1,2,run,0,387,0,1,387,0,0.497416021,387,0.460899706
CLE,1,3,pass,0.727979275,386,0.445578054,0.628238342,386,0.433656163,1,386,0
CLE,1,3,run,0,86,0,1,86,0,0.488372093,86,0.440432569
CLE,1,4,pass,1,7,0,0.642857143,7,0.475594866,1,7,0
CLE,1,4,run,0,12,0,1,12,0,0.416666667,12,0.358870281
CLE,2,1,pass,0.739449541,545,0.439338228,0.586238532,545,0.447515176,1,545,0
CLE,2,1,run,0,579,0,1,579,0,0.519861831,579,0.462282566
CLE,2,2,pass,0.785992218,514,0.410531781,0.604085603,514,0.444111177,1,514,0
CLE,2,2,run,0,359,0,1,359,0,0.493036212,359,0.462965274
CLE,2,3,pass,0.740820734,463,0.438658147,0.57775378,463,0.445518483,1,463,0
CLE,2,3,run,0,121,0,1,121,0,0.52892562,121,0.42474267
CLE,2,4,pass,0.833333333,12,0.389249472,0.583333333,12,0.468718433,1,12,0
CLE,2,4,run,0,13,0,1,13,0,0.576923077,13,0.400320385
CLE,3,1,pass,0.757142857,420,0.429320859,0.564285714,420,0.452424616,1,420,0
CLE,3,1,run,0,586,0,1,586,0,0.557167235,586,0.459161066
CLE,3,2,pass,0.733333333,435,0.442725812,0.58045977,435,0.448201496,1,435,0
CLE,3,2,run,0,331,0,1,331,0,0.525679758,331,0.45902308
CLE,3,3,pass,0.741772152,395,0.438214998,0.624050633,395,0.430209248,1,395,0
CLE,3,3,run,0,90,0,1,90,0,0.488888889,90,0.430428176
CLE,3,4,pass,0.9,10,0.316227766,0.45,10,0.497214463,1,10,0
CLE,3,4,run,0,11,0,1,11,0,0.545454545,11,0.350324525
CLE,4,1,pass,0.741556535,681,0.438100764,0.576358297,681,0.4270786,1,681,0
CLE,4,1,run,0,404,0,1,404,0,0.545792079,404,0.446666302
CLE,4,2,pass,0.754782609,575,0.430590608,0.572173913,575,0.436278973,1,575,0
CLE,4,2,run,0,253,0,1,253,0,0.5256917,253,0.461119256
CLE,4,3,pass,0.745054945,455,0.436310052,0.601098901,455,0.441137523,1,455,0
CLE,4,3,run,0,122,0,1,122,0,0.512295082,122,0.428639568
CLE,4,4,pass,0.770833333,96,0.422502985,0.546875,96,0.423507441,1,96,0
CLE,4,4,run,0,19,0,1,19,0,0.684210526,19,0.341992784
CLE,5,1,pass,0.733333333,15,0.457737708,0.333333333,15,0.40824829,1,15,0
CLE,5,1,run,0,27,0,1,27,0,0.611111111,27,0.466849781
CLE,5,2,pass,0.821428571,28,0.390021028,0.642857143,28,0.46859014,1,28,0
CLE,5,2,run,0,10,0,1,10,0,0.5,10,0.471404521
CLE,5,3,pass,0.615384615,26,0.496138938,0.826923077,26,0.314398082,1,26,0
CLE,5,3,run,0,5,0,1,5,0,0.6,5,0.547722558
CLE,5,4,pass,0,1,,0,1,,1,1,
DAL,1,1,pass,0.806378132,439,0.395586788,0.560364465,439,0.454933237,1,439,0
DAL,1,1,run,0,664,0,1,664,0,0.493222892,664,0.444031141
DAL,1,2,pass,0.830548926,419,0.375598323,0.548926014,419,0.443579979,1,419,0
DAL,1,2,run,0,390,0,1,390,0,0.51025641,390,0.427099304
DAL,1,3,pass,0.78358209,402,0.412315528,0.536069652,402,0.430237973,1,402,0
DAL,1,3,run,0,71,0,1,71,0,0.415492958,71,0.405197619
